id,recipe_name,category,calories,protein_g,carbs_g,fat_g,fiber_g,serving_size,created_at,updated_at
1,"Sparkling water & citrus",beverages,5,0.0,1.0,0.0,0.0,"12 fl oz","2025-09-16 09:42:55","2025-09-16 09:42:55"
2,"Unsweet iced tea",beverages,2,0.0,0.0,0.0,0.0,"12 fl oz","2025-09-16 09:42:55","2025-09-16 09:42:55"
3,"Fruit spritz",beverages,35,0.0,9.0,0.0,1.0,"12 fl oz","2025-09-16 09:42:55","2025-09-16 09:42:55"
4,"Fruit-herb water",beverages,10,0.0,2.0,0.0,0.0,"12 fl oz","2025-09-16 09:42:55","2025-09-16 09:42:55"
5,"Iced herbal tea (caffeine-free)",beverages,2,0.0,0.0,0.0,0.0,"12 fl oz","2025-09-16 09:42:55","2025-09-16 09:42:55"
6,"Water & unsweet electrolytes",beverages,10,0.0,2.0,0.0,0.0,"12 fl oz","2025-09-16 09:42:55","2025-09-16 09:42:55"
7,"Plain low-fat milk",beverages,102,8.0,12.0,2.0,0.0,"8 fl oz","2025-09-16 09:42:55","2025-09-16 09:42:55"
8,"Fruit-milk smoothie",beverages,180,10.0,32.0,3.0,4.0,"12 fl oz","2025-09-16 09:42:55","2025-09-16 09:42:55"
9,"Greek-yogurt smoothie",beverages,220,20.0,28.0,4.0,3.0,"12 fl oz","2025-09-16 09:42:55","2025-09-16 09:42:55"
10,"Banana ice-cream shake",desserts,320,12.0,45.0,12.0,3.0,"12 fl oz","2025-09-16 09:42:55","2025-09-16 09:42:55"
11,"Iced coffee & milk (no syrup)",beverages,60,4.0,6.0,2.0,0.0,"12 fl oz","2025-09-16 09:42:55","2025-09-16 09:42:55"
12,"Chocolate milk (low-fat plain)",beverages,158,8.0,26.0,3.0,1.0,"8 fl oz","2025-09-16 09:42:55","2025-09-16 09:42:55"
13,"Frozen yogurt",desserts,140,4.0,22.0,4.0,0.0,"1/2 cup","2025-09-16 09:42:55","2025-09-16 09:42:55"
14,"Fruit sorbet",desserts,120,0.0,30.0,0.0,1.0,"1/2 cup","2025-09-16 09:42:55","2025-09-16 09:42:55"
15,"Banana ice-cream",desserts,200,3.0,32.0,8.0,2.0,"1/2 cup","2025-09-16 09:42:55","2025-09-16 09:42:55"
16,"Yogurt pops",desserts,80,4.0,14.0,2.0,1.0,"1 pop","2025-09-16 09:42:55","2025-09-16 09:42:55"
17,"Air-popped popcorn",snacks,93,3.0,19.0,1.0,4.0,"3 cups","2025-09-16 09:42:55","2025-09-16 09:42:55"
18,"Roasted chickpeas",snacks,180,8.0,24.0,6.0,8.0,"1/4 cup","2025-09-16 09:42:55","2025-09-16 09:42:55"
19,"Baked tortilla chips & salsa",snacks,140,3.0,24.0,4.0,3.0,"15 chips + 2 tbsp salsa","2025-09-16 09:42:55","2025-09-16 09:42:55"
20,"Baked pita chips",snacks,120,4.0,20.0,3.0,2.0,"1 oz","2025-09-16 09:42:55","2025-09-16 09:42:55"
21,"Air-fryer fries",snacks,150,3.0,28.0,4.0,3.0,"1 medium potato","2025-09-16 09:42:55","2025-09-16 09:42:55"
22,"Baked sweet-potato wedges",snacks,130,2.0,30.0,0.0,4.0,"1 medium potato","2025-09-16 09:42:55","2025-09-16 09:42:55"
23,"Roasted potato cubes",snacks,140,3.0,30.0,2.0,3.0,"1 medium potato","2025-09-16 09:42:55","2025-09-16 09:42:55"
24,"Edamame pods",snacks,95,8.0,8.0,4.0,4.0,"1/2 cup shelled","2025-09-16 09:42:55","2025-09-16 09:42:55"
25,"Grilled chicken burger",main-meals,380,32.0,28.0,16.0,4.0,"1 burger","2025-09-16 09:42:55","2025-09-16 09:42:55"
26,"Turkey veggie burger",main-meals,320,28.0,25.0,12.0,5.0,"1 burger","2025-09-16 09:42:55","2025-09-16 09:42:55"
